,temp,pressure,wind_speed,dew_point,humidity
0,66.83333333333333,29.960000000000004,9.166666666666666,54.833333333333336,66.33333333333333
1,59.166666666666664,29.634999999999994,9.5,53.0,80.5
2,61.333333333333336,29.554999999999996,10.333333333333334,52.0,71.33333333333333
3,63.833333333333336,29.539999999999996,10.5,52.333333333333336,65.83333333333333
4,61.333333333333336,29.525000000000002,11.666666666666666,53.0,74.0
5,60.666666666666664,29.51,7.833333333333333,54.333333333333336,79.5
6,57.666666666666664,29.61,7.333333333333333,54.0,86.0
7,54.714285714285715,29.564285714285717,13.5,47.75,79.57142857142857
8,51.642857142857146,28.945000000000014,21.892857142857142,41.857142857142854,70.32142857142857
9,51.785714285714285,29.17142857142856,15.25,41.07142857142857,67.39285714285714
10,49.5,29.341785714285717,14.214285714285714,38.07142857142857,65.03571428571429
11,48.42857142857143,29.199285714285725,11.607142857142858,41.0,76.17857142857143
12,47.17857142857143,29.16214285714285,9.607142857142858,38.107142857142854,71.21428571428571
13,45.964285714285715,29.51142857142857,7.892857142857143,37.285714285714285,73.35714285714286
14,50.57142857142857,29.856071428571415,7.857142857142857,43.857142857142854,77.25
15,52.535714285714285,29.632142857142867,13.071428571428571,47.25,82.14285714285714
16,54.67857142857143,29.60428571428572,13.357142857142858,46.857142857142854,75.75
17,53.714285714285715,29.58178571428572,10.607142857142858,46.75,78.71428571428571
18,49.142857142857146,29.601071428571437,7.5,45.285714285714285,86.64285714285714
19,51.357142857142854,29.252857142857145,15.857142857142858,46.035714285714285,83.10714285714286
20,50.357142857142854,29.45821428571429,11.428571428571429,44.0,78.35714285714286
21,57.53846153846154,29.545769230769242,9.5,53.61538461538461,88.1923076923077
22,56.23076923076923,29.81115384615382,6.461538461538462,49.84615384615385,79.46153846153847
23,60.84615384615385,29.79961538461538,8.153846153846153,54.03846153846154,79.3076923076923
24,58.15384615384615,29.932307692307706,8.23076923076923,52.23076923076923,80.1923076923077
25,57.11538461538461,30.048846153846164,8.0,52.23076923076923,83.07692307692308
26,60.15384615384615,29.990000000000002,10.115384615384615,53.26923076923077,78.11538461538461
27,57.69230769230769,29.833076923076916,9.807692307692308,52.15384615384615,81.92307692307692
